"Country","Group","Prevalance..primary.","X95..CI.min","X95..CI.max","Prevalance..primary...secondary.","X95..CI.min.1","X95..CI.max.1","Country.Code","Indicator.Name","Indicator.Code","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"Sudan","Africa (southern, eastern, western)",0.55,0.53,0.57,0.53,0.5,0.55,"SDN","Population ages 0-14, total","SP.POP.0014.TO",3851180,3975455,4106398,4245476,4397130,4555875,4712233,4872038,5036905,5205257,5379176,5565357,5762015,5964844,6188460,6434357,6691983,6963242,7249327,7548357,7861732,8188971,8519435,8803529,9016718,9198006,9394218,9586321,9726592,9882765,10077461,10260535,10420196,10588467,10798754,11004335,11182444,11349217,11496632,11650223,11826362,12007310,12195828,12385728,12566962,12752478,12973228,13240916,13541589,13868948,14209282,14545440,14884534,15236556,15615754,16024558,16449579,16894874,17357425,17825947,18299549,18758652,19185348,19583334
"Tanzania","Africa (southern, eastern, western)",0.45,0.41,0.49,0.45,0.41,0.49,"TZA","Population ages 0-14, total","SP.POP.0014.TO",4569542,4700723,4836781,4983696,5147552,5321390,5499297,5682631,5871037,6067776,6276132,6496847,6728975,6974028,7235139,7511331,7799435,8099366,8412433,8734416,9053039,9365383,9678770,10008598,10334905,10658427,10985057,11309628,11618748,11892073,12151907,12408692,12663875,13022700,13508649,13897479,14077068,14298329,14632446,14986026,15392995,15799153,16205812,16640267,17106948,17612954,18148261,18697975,19250630,19775102,20323095,20917734,21515216,22148261,22820055,23563190,24342531,25091649,25788683,26431464,27074322,27729190,28398164,29079310
"Uganda","Africa (southern, eastern, western)",0.87,0.8,0.94,0.91,0.85,0.98,"UGA","Population ages 0-14, total","SP.POP.0014.TO",3544004,3669133,3791659,3910241,4023212,4137256,4259427,4389372,4527882,4673331,4824628,4977755,5128639,5279867,5433158,5590439,5751500,5913367,6075461,6235596,6387970,6536454,6691892,6856253,7032988,7229493,7447197,7684581,7939990,8212895,8501993,8807402,9134643,9483987,9847642,10212762,10582956,10959080,11340179,11731495,12124368,12516970,12914590,13315244,13717129,14120806,14525767,14930827,15331550,15732951,16137675,16547755,16960735,17370314,17776072,18177010,18580838,18992554,19412680,19842789,20279634,20722071,21159019,21583785
"Zambia","Africa (southern, eastern, western)",1,1,1,0,0,0,"ZMB","Population ages 0-14, total","SP.POP.0014.TO",1438034,1490716,1545984,1604989,1666412,1728560,1792239,1857555,1924639,1993677,2064164,2135981,2209743,2285564,2363069,2442649,2523982,2606128,2688772,2771576,2853899,2937287,3024112,3113286,3202938,3293061,3384178,3474980,3564730,3654818,3744599,3834325,3925674,4019983,4119231,4224000,4332408,4442488,4554405,4669466,4788915,4913563,5044385,5183480,5332889,5494897,5668764,5850739,6038245,6229762,6424528,6621361,6818473,7014106,7206182,7393017,7577330,7759440,7936292,8105773,8267697,8424534,8578886,8731618
"Austria","Europe (western, southern, northern)",0.22,0.19,0.25,0.22,0.19,0.25,"AUT","Population ages 0-14, total","SP.POP.0014.TO",1553750,1589681,1616107,1639050,1667652,1698386,1729722,1760843,1787157,1807608,1819711,1824378,1823242,1813470,1793123,1761187,1721547,1678602,1631230,1582480,1541793,1512107,1480906,1444034,1410870,1384368,1363321,1346846,1338284,1338413,1345403,1362687,1387153,1406249,1415151,1416076,1411053,1400676,1388646,1377565,1365678,1352940,1343038,1334790,1326563,1317948,1304092,1286374,1269241,1253224,1239877,1229348,1221818,1219169,1222502,1236508,1255365,1268431,1275901,1280932,1284315,1288336,1300046,1312038
"Belgium","Europe (western, southern, northern)",0.15,0.13,0.17,0.15,0.13,0.17,"BEL","Population ages 0-14, total","SP.POP.0014.TO",2166933,2185217,2195584,2215389,2241748,2267137,2284953,2295089,2295881,2290913,2279793,2269259,2258894,2239199,2211734,2179830,2144211,2106878,2068920,2029688,1993815,1961509,1932942,1907581,1882578,1856788,1832303,1812482,1802825,1801253,1804990,1813403,1821891,1827354,1826737,1820907,1814415,1810079,1806819,1804980,1805037,1805998,1805646,1802777,1799498,1798169,1798564,1801583,1810283,1824709,1844439,1871384,1884455,1894939,1904392,1914607,1922295,1928036,1934402,1938686,1937735,1933517,1932087,1931829
"Denmark","Europe (western, southern, northern)",0.04,0,0.09,0.04,0,0.09,"DNK","Population ages 0-14, total","SP.POP.0014.TO",1153390,1137969,1126062,1121560,1124546,1131012,1141337,1151179,1152938,1150601,1150110,1150212,1151163,1152423,1151275,1147303,1139677,1128145,1112243,1092365,1067950,1037222,1006211,980976,960547,943614,927182,909728,894520,883706,876121,873502,877914,885673,895570,910124,926979,943144,958733,973360,986459,997298,1005230,1010315,1012557,1012494,1011795,1010436,1008817,1005065,998764,991460,982787,974112,966642,961754,959677,958654,956659,952954,948702,946750,948011,948358
"Finland","Europe (western, southern, northern)",0.19,0.18,0.2,0.19,0.18,0.2,"FIN","Population ages 0-14, total","SP.POP.0014.TO",1346634,1328310,1305304,1283079,1260931,1238793,1220277,1204427,1187380,1163957,1133856,1107131,1085779,1066924,1050872,1037047,1023795,1011156,997525,982919,970637,961035,954451,951231,950965,951552,951592,952288,956464,961115,963215,964871,966900,969453,971432,971951,970112,964907,956201,947030,939626,933922,929264,923528,917309,910716,904026,897874,892875,889750,888017,888353,890214,893235,895839,896336,895127,892334,886366,876679,866000,854904,843021,832797
"France","Europe (western, southern, northern)",0.36,0.32,0.39,0.25,0.17,0.33,"FRA","Population ages 0-14, total","SP.POP.0014.TO",12240581,12383917,12413827,12433841,12465481,12496972,12536189,12575521,12612449,12654482,12697950,12755924,12820536,12863671,12861529,12805107,12705719,12603293,12500257,12390675,12316120,12272534,12239528,12191190,12121182,12045460,11953081,11842103,11739766,11670180,11642461,11696616,11699044,11667960,11612078,11537796,11455919,11380771,11345052,11359738,11401604,11447390,11485624,11520090,11555065,11593672,11636647,11681593,11743903,11825661,11902551,11965869,12026635,12082156,12111630,12103090,12060052,12015918,11977969,11928814,11860183,11772947,11690387,11617021
"Germany","Europe (western, southern, northern)",0.16,0.15,0.18,0.16,0.15,0.18,"DEU","Population ages 0-14, total","SP.POP.0014.TO",15332629,15823436,16269425,16682743,17034212,17344975,17637117,17843512,18012935,18193079,18220024,18150478,18045559,17811867,17446531,16954538,16416228,15885093,15359420,14846937,14387106,13953444,13513923,13092754,12715320,12437428,12284440,12249096,12357141,12574958,12822917,13026218,13175596,13275101,13293459,13251830,13186297,13108188,13014778,12923791,12831415,12709705,12545005,12337187,12110377,11877160,11662211,11495034,11351336,11219314,11119468,10830441,10751064,10698650,10698789,10786446,10926988,11068979,11210224,11333040,11435908,11542029,11696671,11818004
"Greece","Europe (western, southern, northern)",0.55,0.52,0.59,0.75,0.7,0.79,"GRC","Population ages 0-14, total","SP.POP.0014.TO",2211827,2218360,2214356,2203620,2194411,2192548,2200233,2210866,2216691,2211693,2199184,2189672,2187341,2184096,2182103,2198014,2231028,2256072,2277070,2292845,2297720,2293417,2273706,2247075,2214849,2174962,2130275,2085981,2042289,1999790,1966017,1935183,1897394,1856407,1811748,1764175,1718884,1680384,1647650,1618604,1598183,1586852,1577882,1569511,1564876,1569442,1578276,1585988,1596905,1609916,1619965,1622976,1617144,1605842,1591915,1574493,1560239,1550619,1540280,1530089,1516781,1486054,1446149,1408974
"Ireland","Europe (western, southern, northern)",0.04,-0.01,0.09,0.04,-0.01,0.09,"IRL","Population ages 0-14, total","SP.POP.0014.TO",875558,872833,871305,872956,880658,890399,896144,899164,901469,907104,917110,929514,943108,958601,975297,990342,1002554,1012725,1022458,1030885,1038604,1046839,1051866,1053121,1049909,1038216,1024535,1010117,990393,970050,952349,938865,926564,911067,891960,871742,855110,842687,833584,828656,826716,826329,828995,836073,845455,856057,870338,892343,917846,941187,962291,979221,989835,995873,1000254,1004394,1008135,1009142,1009790,1009477,1005941,1002263,1004117,1009899
"Italy","Europe (western, southern, northern)",0.72,0.71,0.74,0.72,0.7,0.74,"ITA","Population ages 0-14, total","SP.POP.0014.TO",12555024,12610318,12587954,12578625,12635914,12742734,12860048,12990759,13113589,13219799,13294637,13331043,13381086,13447985,13487199,13469413,13393259,13272294,13094399,12846346,12544009,12215774,11895064,11592069,11274526,10955568,10628909,10291323,9975551,9669804,9381656,8995888,8680236,8553129,8438711,8346923,8278990,8229429,8186481,8153810,8129805,8106469,8107851,8128015,8155317,8187096,8206679,8235532,8283630,8327722,8350902,8346294,8343689,8404363,8424964,8342593,8238537,8130769,8009572,7799976,7642651,7481434,7326442,7167914
"Netherlands","Europe (western, southern, northern)",0.12,0.11,0.12,0.1,0.1,0.11,"NLD","Population ages 0-14, total","SP.POP.0014.TO",3442360,3451726,3437129,3436316,3450143,3472279,3493142,3505732,3515272,3534918,3558661,3573100,3570893,3548348,3509619,3466801,3414213,3349418,3283270,3216592,3155685,3097473,3031878,2961743,2888229,2818985,2766391,2731911,2715154,2713308,2727878,2754736,2783112,2809702,2832668,2848046,2859202,2876327,2902519,2931170,2959105,2982895,2996997,3003598,3001600,2986837,2963332,2940526,2925170,2916098,2909329,2901855,2887465,2863889,2837999,2811351,2786927,2767111,2747066,2731641,2720919,2718089,2730364,2742725
"Norway","Europe (western, southern, northern)",0.12,0.08,0.16,0.12,0.08,0.16,"NOR","Population ages 0-14, total","SP.POP.0014.TO",928433,924131,918792,916412,917666,921511,927009,932974,938422,944552,949058,951772,955055,956848,956113,953546,948262,940256,930598,919051,905794,891819,877684,862369,845581,830817,818336,807911,802456,801112,803352,809857,819359,830175,840148,849287,858766,868302,877683,888583,898598,904386,908336,910454,909947,908088,906397,906681,909827,914998,919741,922668,925504,929035,931602,932960,935558,938340,936962,932555,925870,917593,911740,907085
"Portugal","Europe (western, southern, northern)",0.4,0.33,0.47,0.4,0.33,0.47,"PRT","Population ages 0-14, total","SP.POP.0014.TO",2591367,2597225,2612792,2620545,2622351,2617688,2604459,2590799,2575759,2543839,2490199,2448901,2428001,2404832,2415670,2488774,2543350,2552497,2551364,2539799,2522267,2497317,2468643,2438879,2406599,2366461,2314508,2254774,2190037,2120176,2042115,1961370,1894926,1849501,1812611,1777195,1746641,1722551,1704103,1692910,1683333,1677723,1679307,1679462,1675465,1669178,1659551,1646861,1633857,1620919,1604235,1582923,1560454,1534945,1504971,1474475,1450589,1432145,1414900,1401777,1389659,1382610,1372262,1369925
"Spain","Europe (western, southern, northern)",0.29,0.27,0.31,0.28,0.25,0.32,"ESP","Population ages 0-14, total","SP.POP.0014.TO",8356373,8422241,8507529,8572653,8665447,8797361,8927753,9068837,9203708,9313667,9425782,9532266,9611679,9675087,9730102,9775138,9823628,9863570,9864603,9815305,9733541,9621336,9477465,9322101,9152676,8965541,8756306,8525109,8278624,8014856,7728345,7455864,7223393,7004687,6788223,6585225,6403611,6248247,6120460,6022016,5958164,5940751,5996351,6102165,6207097,6316175,6449168,6601152,6756864,6883692,6974227,7047232,7085949,7080929,7060456,7039273,7016924,6993265,6955240,6904213,6818586,6688904,6592394,6513434
"Sweden","Europe (western, southern, northern)",0.07,0.04,0.09,0.07,0.04,0.09,"SWE","Population ages 0-14, total","SP.POP.0014.TO",1678102,1649979,1627268,1611315,1608086,1617457,1633191,1648501,1656888,1664786,1676152,1684136,1686718,1687215,1690603,1695390,1695471,1689810,1676567,1654869,1629498,1601709,1572157,1546562,1529015,1517527,1508142,1501928,1503849,1514085,1533008,1559509,1588098,1617004,1643163,1657669,1660029,1656935,1651380,1644025,1634817,1624373,1613994,1602655,1588522,1570855,1554969,1545585,1541691,1545814,1559429,1579568,1604597,1634334,1666815,1700223,1737202,1773580,1801984,1823725,1837227,1845060,1845679,1835471
"United Kingdom","Europe (western, southern, northern)",0.08,0.07,0.09,0.08,0.08,0.09,"GBR","Population ages 0-14, total","SP.POP.0014.TO",12240197,12328940,12381617,12446996,12567072,12727647,12895465,13059295,13199415,13315306,13418203,13501365,13521532,13456111,13322271,13128666,12885520,12607086,12323554,12067603,11839769,11619374,11399467,11202314,11041319,10919691,10820064,10756427,10757290,10806137,10893591,11009543,11129265,11226563,11276167,11284512,11285593,11290120,11288034,11270492,11223632,11155575,11079119,11005113,10954956,10917975,10889920,10894833,10934191,10989570,11064380,11152171,11238069,11322908,11416760,11539391,11679120,11808720,11901953,11946384,11932645,11837654,11840865,11767595
