"","Country","Group","Preval_primary","95_CI_min_primary","95_CI_max_primary","pop_under15","pop_under65","pop_above65_rate","agr_land_perc","docs_per_1000","GDP","pop_hist","health_exp","life_exp","jan_temp","feb_temp","mar_temp","apr_temp","may_temp","jun_temp","jul_temp","aug_temp","sep_temp","oct_temp","nov_temp","dec_temp","avg_temp","CM_cal_mean","CM_fsq_mean"
"39","Kazakhstan","Eastern Europe",0.75,0.65,0.84,4548939.875,9409456.03125,6.20330603765625,11.28,4.028,25361.508,19743607,3.28590909090909,64.2673322580645,-11.757406244,-10.619594288,-3.01805760274667,8.46562341733333,16.2002786666667,21.73219132,23.77466352,21.6355575866667,15.1124791866667,6.439423414,-2.43654458268,-8.62237481066667,6.40885329860333,412629.97,194.79
"40","Kenya","Africa (southern, eastern, western)",0.39,0.34,0.43,12060227.46875,14129225.984375,2.29683883592187,9.2,0.226,4745.637,53219165,4.59681818181818,57.1870451612903,25.4020476133333,26.1975666933333,26.2840265733333,25.1902085466667,24.6670997466667,23.9904038533333,23.3258074666667,23.5326611466667,24.41018788,24.9739992933333,24.0423682266667,24.2766531733333,24.6910858511111,107244.227692308,49.3376923076923
"41","Kuwait","Middle East",0.56,0.5,0.62,583899.265625,1384141.5,1.91426627292187,0.41,2.293,43922.63,4360749,3.32,72.4932467741936,12.050573956,14.5150900133333,19.1978755333333,25.29260292,31.59722704,35.7919168266667,37.4053418666667,36.94563016,33.4706319866667,27.50675676,19.2897776266667,13.5233770266667,25.548900143,35634.4561538462,35.57
"42","Lebanon","Middle East",0.78,0.69,0.87,1255208.5625,2359237.28125,5.61292066946875,28.65,2.617,17185.047,5718127,8.25863636363636,68.9411580645161,6.21199292933333,6.91491309466667,9.44422209733333,13.3400419066667,17.3756907466667,21.13839864,23.3904787866667,23.5949144266667,21.5599152666667,17.7696137666667,12.27718568,8.10250629333333,15.0933228028889,91275.7869230769,61.75
"43","Malawi","Africa (southern, eastern, western)",1,1,1,4561035.140625,5192941.953125,3.2854020626875,28.37,0.049,1489.6014,20047263,5.59590909090909,46.4515032258064,22.9355449066667,22.9001507066667,22.6409991866667,21.89101356,20.38761924,18.5306576133333,18.03569704,19.6620696133333,22.3075316533333,24.4114393066667,24.4346243866667,23.2397482266667,21.78142462,77928.0238461539,72.29
"44","Malaysia","Asia",0.87,0.84,0.91,6342597.25,12321797.078125,4.084353126125,17.72,2.228,25852.19,34282405,3.33272727272727,69.5936048387097,24.4059318533333,24.7715586533333,25.2338111866667,25.6094881866667,25.75074436,25.53315568,25.28829284,25.2651072933333,25.119535,24.9854982266667,24.40476116,24.1579224533333,25.0438172411111,145914.156153846,16.9261538461538
"45","Mexico","America",0.48,0.44,0.52,29696789.328125,49938375.109375,4.74650314004688,11.62,2.441,18639.662,127648152,5.60681818181818,68.0656564516129,14.84268426,16.2904161933333,18.7109199333333,21.4330635466667,23.5225264933333,24.67216908,24.3326214266667,24.1643320133333,23.0941045466667,20.89351632,17.4824227466667,15.0729121733333,20.3759740611111,595673.741538462,110.523076923077
"46","Mongolia","Asia",0.88,0.83,0.92,771313.046875,1271222.5,4.4231479638125,0.73,3.859,12052.294,3339678,4.45681818181818,59.5593387096774,-19.0341743866667,-15.1063293866667,-6.26097319466667,3.12239002533333,10.927102584,16.9018701666667,18.9737308666667,16.88382328,10.24761792,1.22980951505333,-9.47251579733333,-16.8076746933333,0.967056408254444,8075675.15538462,387.408461538462
"47","Morocco","Northern Africa",0.73,0.69,0.77,8837979.40625,14815900,4.03646110410938,19.46,0,0,0,4.87772727272727,60.6656887096774,9.68177740666667,11.4026698226667,13.9846921533333,16.1586101466667,19.5914830666667,23.2682243333333,27.1345790933333,26.8748819066667,23.2939951733333,18.95940348,13.8037640666667,10.3082855053333,17.8718638462222,24869.6715384615,3.28923076923077
"48","Mozambique","Africa (southern, eastern, western)",0.95,0.93,0.98,7244829.421875,8607984.4375,2.77143491940625,5.24,0.081,1231.8641,31707797,5.44954545454545,47.1813483870968,25.41368412,25.2605307466667,24.86357516,23.7627619466667,21.9917860666667,20.15221472,19.75866752,21.28525372,23.60554744,25.4734236133333,25.91973488,25.4863155466667,23.5811246233333,1682856.25307692,162.665384615385
