Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SCL","Supply Utilization Accounts (2010-)","762","Tajikistan","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","70.39","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","762","Tajikistan","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","0","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","762","Tajikistan","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","52.52","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","762","Tajikistan","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","27.31","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","764","Thailand","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","2890.63","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","764","Thailand","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","2109.54","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","764","Thailand","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","760.69","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","764","Thailand","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","20.39","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","764","Thailand","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","10.6","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","626","Timor-Leste","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","0.76","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","626","Timor-Leste","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","0.76","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","626","Timor-Leste","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","0.4","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","768","Togo","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","89.5","A","Official figure",""
