Country,Group,Prevalance..primary.,X95..CI.min,X95..CI.max,Prevalance..primary...secondary.,X95..CI.min.1,X95..CI.max.1,Country.Code,Indicator.Name,Indicator.Code,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021,X2022,X2023
Iraq,Middle East,0.93,0.88,0.98,0.93,0.88,0.98,IRQ,"Population ages 15-64, total",SP.POP.1564.TO,4038385,4121579,4204485,4294353,4391015,4489267,4594864,4715698,4849798,4988469,5120335,5244930,5353421,5447596,5553554,5670965,5806312,5989624,6210527,6434831,6663963,6889049,7109841,7354691,7625149,7854679,8099133,8375336,8622271,8907976,9074821,9221657,9544133,10056842,10590970,10996678,11400229,11805005,12225884,12674906,13149937,13621641,14115677,14605076,15085903,15605017,15792549,15738850,16130343,16807861,17425807,18103209,18987328,19954180,20732966,21389835,22022859,22655700,23326516,24012914,24730459,25453771,26190212,26975685
Israel,Middle East,0.89,0.88,0.91,0.9,0.88,0.92,ISR,"Population ages 15-64, total",SP.POP.1564.TO,1267585,1310098,1377580,1433213,1495683,1552500,1595375,1669922,1708668,1753262,1807334,1856923,1895970,1964514,2012297,2048028,2082830,2119283,2157396,2209418,2262813,2310757,2357958,2403841,2436966,2484097,2530635,2579802,2629708,2683880,2779983,2966308,3084982,3181689,3278099,3379904,3480986,3579505,3675761,3784134,3896240,3997544,4083292,4160384,4238298,4318656,4401929,4484313,4563986,4668139,4742275,4814219,4881144,4951429,5029304,5108443,5183981,5262154,5348879,5439187,5525096,5613470,5723598,5843014
Jordan,Middle East,0.56,0.48,0.64,0.43,0.29,0.57,JOR,"Population ages 15-64, total",SP.POP.1564.TO,424322,442193,459249,476910,497696,524385,558219,598577,642792,686764,727081,762237,793038,821891,850549,879730,909903,942169,977316,1016140,1060649,1111384,1167858,1229463,1294945,1364232,1437912,1516242,1599830,1690647,1804575,1942790,2092210,2246316,2391473,2514458,2610193,2684306,2749022,2813397,2879887,2950494,3026378,3108958,3203973,3306729,3556628,3809585,3925810,4037415,4153580,4287962,4375872,4701845,5324329,5868468,6188817,6373840,6558046,6741098,6921053,7097810,7230556,7314545
Kuwait,Middle East,0.56,0.5,0.62,0.5,0.43,0.57,KWT,"Population ages 15-64, total",SP.POP.1564.TO,184753,203811,224914,247871,272267,297969,323377,348641,375632,403421,430019,457010,486450,517657,551376,589420,635588,688445,743351,798651,851867,905937,963421,1022859,1075548,1125291,1172002,1212640,1256911,1306037,998907,817523,1004085,1053973,1075503,1097213,1136329,1185773,1238517,1293526,1349823,1406381,1462181,1516480,1568942,1641630,1745544,1859930,1975599,2093153,2212613,2372044,2571499,2772210,2857908,2968455,3070398,3120729,3268653,3359191,3272155,3163029,3174078,3207946
Lebanon,Middle East,0.78,0.69,0.87,0.78,0.69,0.87,LBN,"Population ages 15-64, total",SP.POP.1564.TO,933949,953162,975479,1000411,1027384,1058698,1095468,1132833,1171888,1213018,1253012,1294986,1339493,1384505,1429346,1470301,1687059,1911719,1773165,1630096,1676311,1723749,1760205,1792291,1833523,1877928,1932506,1988969,2036414,2082053,2124992,2173114,2228533,2283168,2337502,2395604,2457809,2521190,2585661,2652126,2718879,2784594,2843823,2905171,2977309,3050428,3128713,3214519,3291090,3355311,3403018,3450185,3551483,3901286,4313260,4359175,4184093,4008793,3835213,3664342,3557157,3509908,3440173,3343643
Oman,Middle East,0.96,0.95,0.97,0.96,0.95,0.97,OMN,"Population ages 15-64, total",SP.POP.1564.TO,296366,301099,305794,309747,313029,316814,321291,326131,331353,336965,342963,349407,356295,363701,375244,391412,410081,431799,455891,481651,508499,536884,567292,599160,631718,673516,726051,781915,841127,903375,968275,1035450,1104515,1173521,1220950,1249024,1279441,1311809,1345587,1380150,1415181,1450582,1486017,1521747,1569347,1628987,1688833,1747274,1803230,1855982,2033368,2335527,2634152,2876618,3020714,3152203,3312124,3412039,3424792,3372751,3253083,3184195,3213224,3259971
Saudi Arabia,Middle East,0.28,0.25,0.31,0.23,0.19,0.26,SAU,"Population ages 15-64, total",SP.POP.1564.TO,2144227,2208663,2280751,2356845,2439738,2533702,2635562,2744847,2863435,2991910,3133201,3293480,3478915,3688542,3915717,4123825,4313806,4524671,4758655,5013357,5290091,5586723,5902067,6238921,6593983,6963313,7344410,7736409,8140020,8552169,8972041,9392195,9808495,10220875,10656413,11107167,11546671,11985476,12416334,12833451,13243732,13652573,14059122,14463843,14859494,15502282,16413929,17349064,18299285,19263947,20108426,20755774,21333343,21901354,22448231,22977981,23568169,24270519,24999581,25696441,25760357,25603697,25938738,26362353
Syria,Middle East,0.95,0.93,0.98,0.97,0.94,1,SYR,"Population ages 15-64, total",SP.POP.1564.TO,2302092,2358591,2417964,2486674,2559596,2633038,2710120,2790628,2875048,2963827,3056679,3156962,3264610,3373963,3487099,3606032,3728541,3854274,3985064,4122143,4265907,4418706,4580156,4756401,4949392,5152150,5362313,5578963,5802584,6033683,6272941,6521334,6780035,7047800,7319525,7597285,7881646,8169799,8464904,8768208,9080483,9402676,9732883,10066942,10413595,10772820,11423473,12419476,12951256,13117578,13437137,13666640,13463882,12436169,11199594,10520066,10438868,10611018,11082876,11920137,12667075,13296464,14139080,15239015
Turkey,Middle East,0.69,0.66,0.71,0.65,0.61,0.69,TUR,"Population ages 15-64, total",SP.POP.1564.TO,14775651,15116164,15473894,15859338,16261044,16675513,17034144,17322584,17675821,18131954,18625561,19137927,19659145,20166963,20674646,21217161,21791304,22384559,23010053,23660308,24317637,24962758,25657364,26546178,27451559,28252059,29056719,29862856,30682157,31511927,32345627,33189781,34035291,34892770,35772206,36631892,37469947,38292969,39101681,39906002,40717943,41549815,42367864,43203498,44078915,44930735,45739738,46306358,47093075,47969013,48942413,49909186,50794817,51679899,52584039,53427004,54257538,55023704,55641659,56275313,56790674,57338607,57898247,58094259
Yemen,Middle East,1,0.99,1,1,0.99,1,YEM,"Population ages 15-64, total",SP.POP.1564.TO,3074835,3133983,3193774,3249378,3302920,3355412,3406550,3459420,3514647,3573605,3636233,3702102,3771446,3844647,3922452,4005045,4092638,4184774,4281521,4384506,4495297,4615275,4745063,4885330,5036790,5200587,5372057,5556390,5753750,5958060,6175609,6407335,6653536,6914394,7191891,7470157,7738831,8015230,8307845,8615260,8937128,9272466,9619961,9980283,10355824,10770343,11235158,11726796,12231924,12746447,13265795,13777505,14283240,14795016,15313249,15829761,16341270,16856674,17376285,17905849,18431836,18944277,19490300,20077303
