"Country","Group","Prevalance..primary.","X95..CI.min","X95..CI.max","Prevalance..primary...secondary.","X95..CI.min.1","X95..CI.max.1","SoybeanProduction2022","SoybeanProduction2021","SoybeanProduction2020","SoybeanProduction2019","SoybeanProduction2018"
"Russia","Eastern Europe",0.61,0.59,0.64,0.57,0.53,0.6,6003153,4759908,4307593,4359956,4026850
"Ukraine","Eastern Europe",0.61,0.51,0.71,0,0,0,3443800,3493200,2797670,3698710,4460770
"Uzbekistan","Eastern Europe",0.92,0.87,0.96,0.89,0.83,0.95,34862,29473,7460,10858,11399
"Czech Republic","Former Soviet Republics",0.81,0.75,0.87,0,0,0,65540,51460,33020,27840,25260
"Estonia","Former Soviet Republics",0.28,0.25,0.31,0.25,0.2,0.3,0,0,0,0,0
"Hungary","Former Soviet Republics",0.39,0.36,0.41,0.39,0.36,0.41,134470,156580,165760,169570,181240
"Poland","Former Soviet Republics",0.43,0.39,0.47,0.35,0.31,0.39,43780,20970,15960,15540,10390
"Brazil","America",0.6,0.58,0.62,0.6,0.58,0.62,120701031,134799179,121820949,114316829,117912450
"Chile","America",0.56,0.5,0.62,0.56,0.5,0.62,0,0,0,0,0
"Colombia","America",0.8,0.73,0.87,0.8,0.73,0.87,141987,122491,119412,114056,92231
"Mexico","America",0.48,0.44,0.52,0.48,0.44,0.52,241371,288203,246019,232680,324011
"Uruguay","America",0.65,0.59,0.71,0.65,0.59,0.71,647830,1707000,1990000,2828000,1334000
"Canada","America",0.59,0.44,0.74,0.59,0.44,0.74,6543158,6224029,6358500,6145000,7416600
"United States","America",0.36,0.33,0.39,0.53,0.47,0.58,116377000,121527780,114748940,96667090,120514490
"Cyprus","Middle East",0.16,0.15,0.18,0.16,0.15,0.18,0,0,0,0,0
"Iraq","Middle East",0.93,0.88,0.98,0.93,0.88,0.98,33,34,33,33,35
"Israel","Middle East",0.89,0.88,0.91,0.9,0.88,0.92,0,0,0,0,0
"Jordan","Middle East",0.56,0.48,0.64,0.43,0.29,0.57,0,0,0,0,0
"Kuwait","Middle East",0.56,0.5,0.62,0.5,0.43,0.57,0,0,0,0,0
"Lebanon","Middle East",0.78,0.69,0.87,0.78,0.69,0.87,0,0,0,0,0
"Oman","Middle East",0.96,0.95,0.97,0.96,0.95,0.97,0,0,0,0,0
"Saudi Arabia","Middle East",0.28,0.25,0.31,0.23,0.19,0.26,0,0,0,0,0
"Syria","Middle East",0.95,0.93,0.98,0.97,0.94,1,2350,4458,6227,2086,1727
"Turkey","Middle East",0.69,0.66,0.71,0.65,0.61,0.69,155000,182000,155225,150000,140000
"Yemen","Middle East",1,0.99,1,1,0.99,1,0,0,0,0,0
"Algeria","Northern Africa",0.62,0.54,0.7,0.61,0.49,0.73,0,0,0,0,0
"Egypt","Northern Africa",0.68,0.66,0.71,0.42,0.35,0.49,38000,62586,36420,36260,46997
"Morocco","Northern Africa",0.73,0.69,0.77,0.73,0.68,0.79,1000,1000,1000,1000,1000
"Tunisia","Northern Africa",0.84,0.73,0.95,0,0,0,0,0,0,0,0
"Western Sahara","Northern Africa",0.53,0.41,0.65,0.53,0.41,0.65,0,0,0,0,0
