Domain Code,Domain,Area Code,Country,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,95,Honduras,5510,Production,236,Soya beans,t,1701.08,E,Estimated value
QCL,Crops and livestock products,97,Hungary,5510,Production,236,Soya beans,t,103042.52,E,Estimated value
QCL,Crops and livestock products,100,India,5510,Production,236,Soya beans,t,10274734.35,E,Estimated value
QCL,Crops and livestock products,101,Indonesia,5510,Production,236,Soya beans,t,725865.26,E,Estimated value
QCL,Crops and livestock products,102,Iran (Islamic Republic of),5510,Production,236,Soya beans,t,159123.85,E,Estimated value
QCL,Crops and livestock products,103,Iraq,5510,Production,236,Soya beans,t,37.26,E,Estimated value
QCL,Crops and livestock products,104,Ireland,5510,Production,236,Soya beans,t,0,E,Estimated value
QCL,Crops and livestock products,106,Italy,5510,Production,236,Soya beans,t,741072.97,E,Estimated value
QCL,Crops and livestock products,110,Japan,5510,Production,236,Soya beans,t,232347.83,E,Estimated value
QCL,Crops and livestock products,112,Jordan,5510,Production,236,Soya beans,t,0,E,Estimated value
QCL,Crops and livestock products,108,Kazakhstan,5510,Production,236,Soya beans,t,145933.83,E,Estimated value
QCL,Crops and livestock products,114,Kenya,5510,Production,236,Soya beans,t,2218.78,E,Estimated value
QCL,Crops and livestock products,113,Kyrgyzstan,5510,Production,236,Soya beans,t,992.55,E,Estimated value
QCL,Crops and livestock products,120,Lao People's Democratic Republic,5510,Production,236,Soya beans,t,11311.32,E,Estimated value
QCL,Crops and livestock products,119,Latvia,5510,Production,236,Soya beans,t,0,E,Estimated value
QCL,Crops and livestock products,123,Liberia,5510,Production,236,Soya beans,t,3167.78,E,Estimated value
QCL,Crops and livestock products,126,Lithuania,5510,Production,236,Soya beans,t,2568,E,Estimated value
QCL,Crops and livestock products,256,Luxembourg,5510,Production,236,Soya beans,t,23.33,E,Estimated value
QCL,Crops and livestock products,129,Madagascar,5510,Production,236,Soya beans,t,47.49,E,Estimated value
QCL,Crops and livestock products,130,Malawi,5510,Production,236,Soya beans,t,105111.04,E,Estimated value
QCL,Crops and livestock products,131,Malaysia,5510,Production,236,Soya beans,t,0,E,Estimated value
QCL,Crops and livestock products,133,Mali,5510,Production,236,Soya beans,t,5570.31,E,Estimated value
QCL,Crops and livestock products,134,Malta,5510,Production,236,Soya beans,t,0,E,Estimated value
QCL,Crops and livestock products,138,Mexico,5510,Production,236,Soya beans,t,220128.28,E,Estimated value
QCL,Crops and livestock products,143,Morocco,5510,Production,236,Soya beans,t,1008.7,E,Estimated value
QCL,Crops and livestock products,144,Mozambique,5510,Production,236,Soya beans,t,63857.14,E,Estimated value
QCL,Crops and livestock products,28,Myanmar,5510,Production,236,Soya beans,t,164270.68,E,Estimated value
QCL,Crops and livestock products,149,Nepal,5510,Production,236,Soya beans,t,25047.77,E,Estimated value
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5510,Production,236,Soya beans,t,0,E,Estimated value
QCL,Crops and livestock products,156,New Zealand,5510,Production,236,Soya beans,t,0,E,Estimated value
QCL,Crops and livestock products,157,Nicaragua,5510,Production,236,Soya beans,t,5848.7,E,Estimated value
QCL,Crops and livestock products,159,Nigeria,5510,Production,236,Soya beans,t,662434.43,E,Estimated value
QCL,Crops and livestock products,154,North Macedonia,5510,Production,236,Soya beans,t,243.29,E,Estimated value
